Profil,Lieu_de_recherche,Disponibilité,Points_forts,Expérience,Compétence
A la recherche d'un CDI,France entière,immédiate,,"
Analyste de données, Stage

|
Gwenlake (Rennes)","Application des méthodes de machine learning dans BI
(Avancé)
Big data Analytics
(Intermédiaire)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Déploiement de services cloud (cloud computing)
(Intermédiaire)
Java
(Intermédiaire)
Programmation en Python
(Avancé)
Technologies SPARK (Framework)
(Intermédiaire)"
"Document Controller avec trois ans d'expérience dans le secteur du pétrole, du gaz et de l'énergie. Expert en gestion de la documentation technique avec les logiciels GED.",France entière,immédiate,"Aconex
Progiciels de gestion intégrée d'entreprise (ERP)
SharePoint
Anglais","
Document Controller

|
Ferrostaal Industrieanlagen Libyen Ltd (Tunisie)","Classer des documents
Gérer une base documentaire
Maintenir une documentation précise et à jour
Réaliser une veille documentaire
Sélectionner des informations documentaires"
Ingénieure Informatique à la recherche d'une nouvelle opportunité,France entière,immédiate,"Concevoir une application web
Faire preuve de curiosité
Recueillir et analyser les besoins client
Rédiger un cahier des charges, des spécifications techniques
Travailler en équipe","
Consultant.net/angular 

|
Groupe Robert Inc  (Tunisie)","Application web
ASP.NET
Bitbucket
C#
CSS
Docker
Finance
Gestion de bases de données NoSQL
HTML
Informatique scientifique et technique
JIRA
Microsoft SQL Server
Programmation en JavaScript
Programmation en Python
Réseaux informatiques et télécoms
Systèmes d'information de gestion
Utilisation de frameworks de test"
"Titulaire d'un Master en Conseil en Entreprise, je suis à la recherche d'une opportunité pour lancer ma carrière et mettre en pratique les compétences que j'ai acquises.",France entière,immédiate,"Analyser des données techniques pour optimiser les processus
Communiquer auprès de ses clients internes et externes
Faire preuve de curiosité
Technologies de l'accessibilité numérique
Travailler en équipe","
Économie d'entreprise et des marchés parcours type conseil en entreprise

|
Bac+5 et plus ou équivalents","Ecrire une ou plusieurs langues étrangères
Parler une ou plusieurs langues étrangères"
Développeur Full Stack - Disponible,France entière,immédiate,"Faire preuve de curiosité
Faire preuve de persévérance
Travailler en équipe
Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives
Développer un logiciel, un système d'informations, une application","
Bachelor Concepteur Développeur d'Applications, En cours

|
Bac+3, Bac+4 ou équivalents","Anglais technique
Apache
Application web
Architecture MVC (Modèle - Vue - Contrôleur)
(Intermédiaire)
CSS
(Avancé)
Docker
(Avancé)
Gestion de bases de données NoSQL
(Avancé)
Gestion des configurations
Gestion des relations clientèle
GitLab
(Avancé)
HTML
(Avancé)
Langage C++
(Avancé)
Langages de programmation informatique
(Intermédiaire)
Microsoft Active Directory
(Intermédiaire)
MySQL
(Avancé)
Node.js
(Avancé)
PHP
(Intermédiaire)
Programmation en JavaScript
(Avancé)
Programmation en Python
(Débutant)
Programmation logicielle
(Intermédiaire)
Réseaux informatiques et télécoms
(Intermédiaire)
Script Shell
Sécurité des systèmes embarqués
Système d'exploitation Linux
(Avancé)
Système d'exploitation Windows
(Avancé)
Systèmes d'exploitation informatique
(Avancé)
Technologies de l'accessibilité numérique
Visual Basic
XML"
Game designer,France entière,immédiate,"Concevoir un projet d'écriture
Gestion de projet
Anglais niveau avancé B2
Concevoir des projets en jeux vidéo
game design","
Unity Developper

|
Blackfoot Sarl (Paris)","Algorithmique
Anglais niveau avancé B2
(Avancé)
Argumentation commerciale
Basic
C#
Conception et réalisation de sites web, d'animation, de jeux vidéo, ...
CSS
Écriture de scénario
Espagnol
(Intermédiaire)
Gestion de projet multimédia
(Avancé)
Histoire du cinéma
HTML
Java
Langage C++
Langages de programmation de Commande Numérique (CN)
(Avancé)
Langages de programmation informatique
(Avancé)
Logiciel d'animation 3D
(Débutant)
Maîtrise des techniques de storytelling
(Avancé)
Management de proximité
(Intermédiaire)
PHP
Programmation en Python
Programmation logicielle
Projet pour le cinéma
Projet radiophonique ou télévisé
(Intermédiaire)
Réseaux informatiques et télécoms
Site de vente en ligne
(Débutant)
Systèmes d'information de gestion
Technologies de l'accessibilité numérique
(Avancé)
Théâtre contemporain
(Avancé)
Types de plans de vue"
Directrice marketing et communication,France entière,immédiate,"Concevoir des modèles de détection des insights consommateurs
Définir une stratégie de communication
Mettre en oeuvre des actions commerciales et promotionnelles","
Directrice marketing 

|
SAS AITAKES","Concevoir des supports de communication audiovisuels
Concevoir des supports de communication et d'image
(Avancé)
Concevoir des supports de communication visuelle
Définir une ligne éditoriale
Définir une stratégie de communication
(Avancé)
Mettre en oeuvre des actions de communication
(Avancé)
Réaliser des actions de relation publique, de diffusion et de promotion de l'information
(Avancé)
Réaliser des supports de communication multimédia
(Avancé)
Réaliser un journal interne
Rédiger des communiqués de presse
Rédiger le contenu d'un support de communication
(Avancé)
Rédiger un cahier des charges, des spécifications techniques
(Avancé)
Rédiger un discours"
"A la recherche d'un emploi dans la recherche et développement, mathématiques appliquées, modelisation, simulation, optimisation, domaines du bâtiment et de l'énergie",France entière,immédiate,"Programmation en Python
Modélisation et simulation
Modélisation mathématique
Anglais
Français","
Chercheur, Post-doctorat

|
 (La Rochelle)","Adapter les outils de traitement statistique de données
(Intermédiaire)
Intégrer des outils IA/Data Science
(Débutant)"
"Responsable Production, Logistique et Exploitation",France entière,immédiate,"Optimisation des flux de production
Diriger et gérer un ensemble, une structure, une organisation
Gestion du personnel, formation, recrutement
Maintenance préventive et curative
Piloter une démarche qualité, un processus d'amélioration continue","
Master MANAGEMENT OPERATIONNEL (MENTION) ESSEC Paris

|
Bac+5 et plus ou équivalents","Analyse de données de production
(Avancé)
Cadre réglementaire environnemental
Droit de la propriété intellectuelle
(Avancé)
Externalisation des systèmes d'information
(Intermédiaire)
Gestion de projet
(Avancé)
Marketing / Mercatique
(Intermédiaire)
Méthodes d'analyse (systémique, fonctionnelle, de risques, ...)
(Intermédiaire)
Méthodes d'ordonnancement
(Intermédiaire)
Méthodes d'organisation du travail
(Avancé)
Modélisation informatique
(Intermédiaire)
Normes qualité
(Avancé)
Normes Qualité, Sécurité, Environnement (QSE)
(Avancé)
Organisation de la chaîne logistique
(Avancé)
Outils de planification des ressources humaines
(Avancé)
Règlement Général européen sur la Protection des Données (RGPD)
(Avancé)"
"Docteur en génie électrique, instrumentation et informatique d'image",France entière,immédiate,"Adapter les outils de traitement statistique de données
Algorithmique
Animer, coordonner une équipe
Réaliser des études spécifiques","
POEC DATA ANALYST - Passage de certification Tosa Python
","Algorithmique
Analyse de données expérimentales
Big data Analytics
Conception de programmes de formation
Logiciels de gestion de base de données
Sciences économiques et sociales
Utilisation de logiciels statistiques"
"Journaliste / reporter d'images, 8 ans d'expérience sur le terrain (interview, compte-rendus, écriture, titraille, SEO, SR, tournage, montage, présentation plateau)",France entière,immédiate,"Faire preuve de curiosité
Faire preuve de réactivité
Prendre des initiatives et être force de proposition
S'adapter aux changements
Travailler en équipe","
Pigiste / Journaliste reporter d'images

|
L'Equipe (France)Cette Expérience contient une pièce jointe","Culture générale
(Avancé)
Culture sportive
(Avancé)
Linguistique
Stratégies de communication digitale
(Avancé)"
Responsable de laboratoire d'analyses chimiques et métallurgiques et de recherches et développements,France entière,immédiate,"Animer, coordonner une équipe
Concevoir et gérer un projet
Méthodes et outils de résolution de problèmes
Qualité : ISO 9000, 14000, 17025
Techniques de gestion de projet en laboratoire","
chef de service Maîtrise des Risques

|
Bureau Veritas (Alsace et Lorraine)","Analyse physico-chimique environnementale
(Avancé)
Gestion budgétaire
(Avancé)
Méthodes et outils de résolution de problèmes
(Avancé)
Modélisation et simulation
(Avancé)"
"Technicien De Production /  Magasinier / Cariste CACES 1, 2, 3, 5 et 6",France entière,immédiate,,"
Titre professionnel concepteur développeur d'applications
","Administration centrale
(Avancé)
Analyse de données expérimentales
(Intermédiaire)
Analyse des besoins des clients
(Avancé)
Application mobile sous Android
(Débutant)
Application web
Approvisionnement en ligne / E achat
(Avancé)
Architecture réseau
(Intermédiaire)
Big data Analytics
(Débutant)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Caractéristiques socio-culturelles des publics
(Avancé)
CMS (Système de gestion de contenu) Joomla
(Avancé)
Conception de programmes de formation
(Intermédiaire)
Conception et analyse d'enquête
(Avancé)
Déploiement de services cloud (cloud computing)
(Intermédiaire)
Données d'activité de la structure, du service
(Avancé)
E-commerce
(Avancé)
Économétrie
(Avancé)
Économie du développement durable
(Intermédiaire)
Économie sociale
(Avancé)
Gestion administrative
(Avancé)
Gestion de données
(Débutant)
Gouvernance d'entreprise
(Intermédiaire)
HTML
(Avancé)
Insights marketing
(Avancé)
Intelligence économique
(Intermédiaire)
Java
(Intermédiaire)
Langages de programmation informatique
(Intermédiaire)
Langages de programmation pour développements mobiles
(Intermédiaire)
Maîtrise statistique des procédés (MSP) / Statistical Process Control (SPC)
(Intermédiaire)
Merchandising / Marchandisage
(Avancé)
Modélisation et simulation
(Débutant)
MySQL
(Intermédiaire)
Outils de web analyse - web analytics
(Avancé)
PDO (PHP Data Objects)
(Débutant)
PHP
(Avancé)
Progiciel de gestion SAS Statistiques
(Intermédiaire)
Programmation en JavaScript
(Intermédiaire)
Programmation en Python
(Intermédiaire)
Programmation orientée objet - POO
(Débutant)
Psychologie de l'enfant
(Intermédiaire)
Sciences économiques et sociales
(Intermédiaire)
Search Engine Marketing (SEM)
(Avancé)
Stratégie de développement
(Avancé)
Techniques d'entretien d'enquête
(Intermédiaire)
Techniques d'exploration de données (data mining)
(Débutant)
Techniques de négociation avancées
(Intermédiaire)
Utilisation de logiciels statistiques
(Intermédiaire)
Webmarketing
(Avancé)
WordPress (CMS)
(Intermédiaire)
XML
(Intermédiaire)"
Chef de Projet Digital,France entière,immédiate,,"
Chef de Projet Informatique

|
CGI France (Le Haillan, France)","Gestion de projet
Marketing des réseaux sociaux
Marketing mobile
Méthodes d'enquête
Organisation de la chaîne logistique
Outils de planification
Procédures d'appels d'offres
Stratégies de vente en ligne
Techniques de marketing digital"
Ingénieur informatique,France entière,immédiate,"Adapter les outils de traitement statistique de données
Business Intelligence (BI) / Informatique décisionnelle
Langages de programmation informatique
Logiciels de gestion de base de données","
Stage PFE - Data Scientist

|
EpicEvents (Paris)","Algorithmique
Analyse de données expérimentales
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Langages de programmation informatique
Logiciels de gestion de base de données
Modélisation et simulation
Modélisation statistique
Systèmes d'information de gestion"
Second capitaine marine marchande,France entière,immédiate,,"
Responsable de projet architecture & intégration réseau/IIoT

|
Bourbon Digital & Innovation – Service IT (Marseille & navires offshore)","Chiffrage/calcul de coût
(Intermédiaire)
Électricité
(Avancé)
Gestion budgétaire
(Intermédiaire)
Installation de téléphonie numérique
(Intermédiaire)
Logiciels de gestion d'appels téléphoniques
(Intermédiaire)
Mécanique / Mécatronique marine
(Avancé)
Navigation au long cours
(Avancé)
Réseaux Digital System for Mobile Communications (DECT)
(Intermédiaire)
Réseaux informatiques et télécoms
(Intermédiaire)
Réseaux Local Area Network (LAN)
(Avancé)
Réseaux Private Automatic Branch eXchange (PABX)
(Débutant)
Réseaux Voies-Données-Images (VDI)
(Intermédiaire)
Réseaux Wide Area Network (WAN)
(Intermédiaire)
Support client à distance
(Avancé)
Système de navigation embarqué
(Avancé)"
Insights manager,France entière,immédiate,,"
Insights manager

|
The social wire (Paris)",
"SDM - Infrastructure, ITSM Chef de Projet",France entière,immédiate,"Gestion de projet
Gestion Parc informatique
Infrastructure
ITIL v3 Foundation
Management SLA / KPI","
Service Delivery Manager 

|
ITC Infotech (Paris)","Génie logiciel
Gestion budgétaire
(Avancé)
Informatique industrielle
Logiciel de traitement de texte
(Avancé)
Micro-informatique
Modèle informatique client-serveur
(Avancé)
Réseaux informatiques et télécoms
(Avancé)
Système d'exploitation AS 400
Système d'exploitation informatique Android
Système d'exploitation informatique Apache Tomcat
Système d'exploitation informatique Sun OS
Systèmes d'exploitation informatique
Systèmes d'information de gestion
Techniques d'audit interne
(Avancé)
Technologie de l'internet
(Avancé)
Technologies de l'accessibilité numérique
Technologies informatiques
(Avancé)
Technologies télécoms
(Avancé)
Utilisation de logiciels de tableur
(Avancé)"
Analyste financier à la recherche d'un emploi,France entière,immédiate,"Faire preuve de leadership
Finance d'entreprise
Organiser son travail selon les priorités et les objectifs
Finance
Mathématiques financières","
Diplôme d'université mention études françaises (DUEF)
","Anglais financier
Comptabilité des opérations de marché
Comptabilité générale
Finance
(Avancé)
Finance d'entreprise
Fiscalité
Mathématiques financières
(Avancé)"
Contrôleur financier / Contrôleur de gestion,France entière,immédiate,"SAP - FICO
Analyse de données financières
Microsoft Excel
Utilisation de logiciels de gestion de production (ERP)
Anglais","
Contrôleur de gestion industriel

|
EVIOSYS PACKAGING (Saint-Ouen)","Comptabilité analytique
Comptabilité générale
Gestion comptable
Histoire de la musique
(Débutant)
Logiciels comptables
Mathématiques financières
Microsoft Excel
(Avancé)
MySQL
(Intermédiaire)
Pratique du cyclisme
(Avancé)
Progiciel de gestion Sage 100
(Intermédiaire)
Progiciel de gestion SAP BW
(Avancé)
Programmation en Python
(Intermédiaire)
Techniques de négociation avancées
Utilisation de logiciels de gestion de production (ERP)
(Avancé)
Visual Basic for Applications (VBA)
(Intermédiaire)"
Assistant chef de projet,France entière,immédiate,"Faire preuve d'autonomie
Recueillir et analyser les besoins client
Travailler en équipe
Maîtrise des outils gestion de projets (MS Project, etc.) et de BIM","
Management de Solutions Digitale et Data

|
Bac+5 et plus ou équivalents","Rédiger un cahier des charges, des spécifications techniques"
Journaliste Sportif,France entière,immédiate,,"
Commentateur sportif

|
FFFTV","Culture sportive
Logiciels d'édition multimédia
Logiciels de gestion de base de données
Publication Assistée par Ordinateur (PAO)
Typographie"
Linguiste informaticienne,France entière,immédiate,"Application des méthodes de machine learning dans BI
Travailler en équipe
Analyser, exploiter, structurer des données
Linguistique","
Linguiste informaticienne | Airbus

|
Eowin (Toulouse, 31)","Analyse de données expérimentales
(Avancé)
Application des méthodes de machine learning dans BI
Lexicologie
(Avancé)
Linguistique
(Avancé)
Modélisation et simulation
(Avancé)
Sociologie
(Avancé)"
À la recherche d'une nouvelle opportunité dans le domaine de la data science pour développer mes compétences et mettre à profit mes connaissances.,France entière,immédiate,"Adapter les outils de traitement statistique de données
Déterminer l'opportunité de l'intégration d'outils IA/Data Science dans le modèle d'affaires
Lire et interpréter des données et documents techniques au besoin en anglais
Mobiliser des données massives pour éclairer les prises de décisions
Programmation en Python","
Diplôme d'ingénieur: Big Data & Machine Learning

|
Bac+5 et plus ou équivalents","Adapter les outils de traitement statistique de données
Déterminer l'opportunité de l'intégration d'outils IA/Data Science dans le modèle d'affaires
Lire et interpréter des données et documents techniques au besoin en anglais
Mobiliser des données massives pour éclairer les prises de décisions
Réaliser un modèle de prévision"
A la recherche d'un poste du Data Scientist \ Data Engineer,France entière,immédiate,"Adapter les outils de traitement statistique de données
Algorithmique
Big data Analytics
Langages de programmation informatique
Logiciels de gestion de base de données","
Data Enginner \ Data Scientist

|
AKKODIS (Toulouse, France)","Algorithmique
Analyse de données expérimentales
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Langages de programmation informatique
Logiciels de gestion de base de données
Modélisation et simulation
Utilisation de logiciels statistiques"
Data analyst,France entière,immédiate,"Looker studio
Power BI
Gestion de bases de données NoSQL
Programmation en Python
Techniques d'exploration de données (data mining)","
Data engineer - BC02 élaborer une solution technique de collecte et de traitement de données massive
","Application des méthodes de machine learning dans BI
(Intermédiaire)
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Gestion de bases de données NoSQL
(Avancé)
Langages de programmation informatique
Programmation en Python
(Avancé)
Techniques d'exploration de données (data mining)
(Avancé)"
Data Scientist,France entière,immédiate,"Application des méthodes de machine learning dans BI
Établir des prévisions, des évaluations, des recommandations, des perspectives
Exploiter des solutions de Data Science ou d'Intelligence Artificielle
Programmation en Python
Rédiger les volets IA et Data Science d'une proposition commerciale de développement de solution","
Data Scientist 

|
SIEMENS (Paris)","Analyse de données expérimentales
Application des méthodes de machine learning dans BI
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Économie du développement durable
Gestion budgétaire
Gestion des relations clientèle
Intelligence économique
Langages de programmation informatique
Logiciels de gestion de base de données
Modélisation et simulation
Modélisation statistique
Programmation en Python
Système d'exploitation Unix
Système d'exploitation Windows
Système de Gestion de Bases de Données (SGBD)
Technologies HADOOP
Utilisation de logiciels statistiques"
Ouvert pour une nouvelle opportunité de CDi/CDD/alternance en tant que Data Scientist/Data Analytics/Python Developer,France entière,immédiate,"Application des méthodes de machine learning dans BI
Data Analy
data science
Gestion de bases de données NoSQL
python","Réseau des GRETA-CFA Académie d'Aix-Marseille 
Cette Formation contient une pièce jointe","Application des méthodes de machine learning dans BI
(Débutant)
Application web
(Intermédiaire)
Gestion de bases de données NoSQL
(Intermédiaire)
Gestion de données
(Intermédiaire)
Gestion de versions de logiciels de jeux
(Intermédiaire)
Programmation en Python
(Intermédiaire)
Techniques d'exploration de données (data mining)
(Intermédiaire)
Visual Basic for Applications (VBA)
(Intermédiaire)"
Junior/Assistant - Marketing - Kedge Business School,France entière,immédiate,"UX/UI Design
Big data Analytics
Élaborer une stratégie de marketing digital
Gestion de projet
Techniques de marketing digital","
Account Manager

|
The Marketing Store (Paris)","Big data Analytics
(Intermédiaire)
Développement de stratégies marketing
(Avancé)
Intelligence artificielle
Microsoft Excel
(Avancé)
Programmation en Python
(Intermédiaire)"
Stratège digital passionné par les nouvelles technologies | En recherche de nouvelles opportunités en communication digitale,France entière,immédiate,"Optimisation SEO pour le multimédia
Certification Google Ads pour la publicité sur le
Google Data Studio : Présenter les données marketing
Stratégies de communication digitale","
Mastere 2 Directeur De Projet Image Communication Digitale

|
Bac+5 et plus ou équivalents","Alias studio tools
Application web
Connaissances en techniques de communication, technologies de l'information, Internet, vidéo, réseaux sociaux (LinkedIn, Twitter…), multimédia
CSS
Google Analytics
(Intermédiaire)
HTML
(Intermédiaire)
Microsoft Project
Photographie
(Intermédiaire)
Stratégies de communication digitale
(Avancé)
WordPress (CMS)
(Intermédiaire)"
Dévelopeur Jeux/.Net/Web,France entière,immédiate,"Intégrer des outils IA/Data Science
Langage C++
Untiy
Utilisation de frameworks de test
C#","
Dévelopeur d'application en freelance

|
Arborus","ASP.NET
(Débutant)
C#
(Avancé)
Java
(Intermédiaire)
Langage C++
(Intermédiaire)
Programmation en Python
(Avancé)
React.js
(Débutant)
Utilisation de frameworks de test
(Intermédiaire)"
"Débutante motivée en analyse de données, avec expertise en SQL, VBA, Python et SAP FICO/HANA. Capacité prouvée à accomplir les tâches dans les délais. Compétente en visualisation de données",France entière,immédiate,"Faire preuve de rigueur et de précision
Organiser son travail selon les priorités et les objectifs
Respecter ses engagements, assumer ses responsabilités
Big data Analytics
Entretenir, nettoyer un espace, un lieu, un local","
Agent de Nettoyage

|
Pichit (Rennes, France)","Accueillir le client et l'installer
(Avancé)
Effectuer le service des plats à table
(Avancé)
Prendre une commande client
(Avancé)"
PhD en Traitement du signal,France entière,immédiate,"Faire preuve de créativité, d'inventivité
S'adapter aux changements
Concevoir et gérer un projet
Intégrer des outils IA/Data Science
Intelligence artificielle","
ORNIKAR - PERMIS B - 15H DE CO
","Adapter les outils de traitement statistique de données
(Avancé)
Définir et faire évoluer des procédés de traitement de l'information
(Avancé)
Développer un logiciel, un système d'informations, une application
(Avancé)
Intégrer des outils IA/Data Science
(Avancé)
Recueillir et qualifier les données, signaux, mesures, images, transmis ou émis
(Avancé)"
data Scientist,France entière,immédiate,"Animation des formations et encadrement
Développement (RIA, Magic, ..)
Gestion de projet
Méthode d’analyse et de conception
Recensement et analyse du besoin des clients","
Chef de projet en intelligence artificielle
","Algorithmique
(Avancé)
MySQL
(Avancé)
Programmation en Python
(Avancé)
Système d'exploitation Windows
(Avancé)"
Data Scientist & UI/UX Designer,France entière,immédiate,,"
Mastère 2 - Digital design

|
Bac+5 et plus ou équivalents","3DS MAX
(Intermédiaire)
After Effects
(Intermédiaire)
Analyse de données expérimentales
(Intermédiaire)
Arborescence d'un site web
(Avancé)
Blender
(Intermédiaire)
Chaîne graphique
(Avancé)
Colorimétrie
(Avancé)
Conception de sites web
(Avancé)
Ergonomie d'un site web
(Avancé)
Gestion de projet multimédia
(Avancé)
HTML
(Avancé)
Illustrator
(Intermédiaire)
InDesign
(Avancé)
Logiciels de création vidéo
(Intermédiaire)
Logiciels de montage photo
(Intermédiaire)
Maîtrise des techniques de storytelling
(Intermédiaire)
Outils de traitement ou d'intégration en animation vectorielle
(Intermédiaire)
Outils de traitement ou d'intégration en images
(Intermédiaire)
Outils de traitement ou d'intégration en son
(Avancé)
Outils de web analyse - web analytics
(Intermédiaire)
Photoshop
(Intermédiaire)
Programmation en JavaScript
(Intermédiaire)
Search Engine Marketing (SEM)
(Intermédiaire)
Site de vente en ligne
(Avancé)
Technologies de l'accessibilité numérique
(Avancé)
Typographie
(Avancé)
Webmarketing
(Avancé)
Zbrush
(Intermédiaire)"
Recherche d'un CDI en tant que Data Scientist,France entière,immédiate,,"
Mastère spécialisé data science pour la connaissance client

|
Bac+5 et plus ou équivalents","Adapter les outils de traitement statistique de données
Analyser / traiter l'information à des fins d'anticipation
Analyser des données pour soutenir des décisions stratégiques
Définir et faire évoluer des procédés de traitement de l'information
Déterminer l'opportunité de l'intégration d'outils IA/Data Science dans le modèle d'affaires
Lire et interpréter des données et documents techniques au besoin en anglais
Mobiliser des données massives pour éclairer les prises de décisions
Réaliser un modèle de prévision"
Ingénieure Logiciel et Data Junior,France entière,immédiate,"Adapter les outils de traitement statistique de données
Communiquer les résultats des études aux parties prenantes
Concevoir une application web
Recueillir et analyser les besoins client
Anglais","
Stagiaire Data Analyst

|
CSTB (Champs-sur-marne, île-de-France, France)","Adapter les outils de traitement statistique de données
Concevoir une application web"
"Data Scientist, data analyst",France entière,immédiate,,"
Data scientist
","Algorithmique
Analyse de données expérimentales
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Conception et analyse d'enquête
Économétrie
Gestion de bases de données NoSQL
Langages de programmation informatique
Logiciels de gestion de base de données
Modélisation statistique
Programmation en Python
Utilisation de logiciels statistiques"
Docteur en Biogéographie - Data Analyst - Consultant,France entière,immédiate,,"
Doctorat en Biogéographie

|
Bac+5 et plus ou équivalents","Big data Analytics
Écologie"
Data Analyst experte Visualisation,France entière,immédiate,"Gérer et maitriser des bases de données (SQL/NoSQL)
Power BI
Programmation en Python
programmation R
Suite bureautique - LibreOffice","
Ingenierie Informatique

|
Bac+5 et plus ou équivalents","Analyse de données de recherche
(Intermédiaire)
Big Data
(Débutant)
Développement de tableaux de bord
(Intermédiaire)
GitLab
(Débutant)
PL/SQL
(Intermédiaire)
Programmation en Python
(Intermédiaire)
Suite bureautique - LibreOffice
(Intermédiaire)"
De Data Analyst Junior à Data Analyst Senior,France entière,immédiate,"Adapter les outils de traitement statistique de données
Analyser les tendances de consommation des clients
Assister une structure dans l'interprétation et l'analyse d'une étude
Business Intelligence (BI) / Informatique décisionnelle","
Licence Informatique Générale

|
Bac+3, Bac+4 ou équivalents","Algorithmique
(Avancé)
Big data Analytics
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Conception et analyse d'enquête
(Intermédiaire)
Logiciels de gestion de base de données
(Avancé)
Sciences économiques et sociales
Utilisation de logiciels statistiques
(Avancé)"
"Data Scientist Expert en Machine Learning et Cloud Computing, à la Recherche d'une Nouvelle Expérience",France entière,immédiate,"Data engineer
Agililté
Application des méthodes de machine learning dans BI
GitHub
Programmation en Python","
Data scientist

|
 (Aubagne)Cette Expérience contient une pièce jointe","Analyse de données expérimentales
Application des méthodes de machine learning dans BI
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Déploiement de services cloud (cloud computing)
(Intermédiaire)
Docker
(Avancé)
GitHub
(Avancé)
JIRA
(Intermédiaire)
Logiciels de gestion de base de données
Modélisation et simulation
Programmation en Python
(Avancé)
Utilisation de logiciels statistiques"
Data scientist/ DataMiner / Data Engineer / Ml Engineer / Data Analyst,France entière,immédiate,"Communiquer les résultats des études aux parties prenantes
Définir et faire évoluer des procédés de traitement de l'information
Réaliser un modèle de prévision
Utilisation de logiciels statistiques","
Master MIASHS - Big data

|
Bac+5 et plus ou équivalentsCette Formation contient une pièce jointe","Algorithmique
Analyse de données expérimentales
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Logiciel de traitement de texte
(Avancé)
Modélisation statistique
Utilisation de logiciels de tableur
(Avancé)
Utilisation de logiciels statistiques"
A la recherche d'un poste dans la Data.,France entière,immédiate,"Esprit de synthèse
Gestion de bases de données NoSQL
Langages de programmation informatique
Méthodes agiles
Programmation en Python","
Data Analyst | CDI

|
URGO HEALTHCARE (Dijon)","Déploiement de services cloud (cloud computing)
(Intermédiaire)
Gestion de bases de données NoSQL
(Avancé)
Google Analytics
(Intermédiaire)
Langages de programmation informatique
(Avancé)
Programmation en Python
(Avancé)"
Data Analyst,France entière,immédiate,"Travailler en équipe
Modélisation et simulation
Animer, coordonner une équipe
Concevoir des modèles théoriques (calcul, simulation, modélisation)
Techniques de gestion de projet en laboratoire","
Data Analyst - Tosa Python - POEC - Préparation Opérationnelle à l'Emploi Collective
","Bonnes Pratiques de Laboratoire -BPL-
(Avancé)
Cadre réglementaire environnemental
Normes d'hygiène et de propreté
(Avancé)
Normes qualité
(Avancé)
Procédures d'encaissement
(Avancé)
Programme de recherche et développement
(Intermédiaire)
Règles de tenue de caisse
(Avancé)
Règles et consignes de sécurité
(Avancé)"
Data Analyst – Statisticien,France entière,immédiate,"Algorithmique
Communiquer les résultats des études aux parties prenantes
Méthodes d'enquête
Rédiger de l'information","
Ingénieur de recherche en macroéconomie,supply chain

|
HighfiSasCette Expérience contient une pièce jointe","Algorithmique
Analyse de données expérimentales
(Avancé)
Big data Analytics
Économétrie
(Avancé)
Économie
(Avancé)
Gestion budgétaire
(Avancé)
Gestion des relations clientèle
Intelligence économique
Langages de programmation informatique
Logiciels de gestion de base de données
Sciences économiques et sociales
(Avancé)"
"Jeune diplômée d'une école d'ingénieur avec une spécialisation en intelligence artificielle, à la recherche d'opportunités en IA, data et machine learning.",France entière,immédiate,,"
CONSULTANTE

|
WAVESTONE (Puteaux)","CSS
(Intermédiaire)
Déploiement de services cloud (cloud computing)
(Intermédiaire)
Gestion de bases de données NoSQL
(Intermédiaire)
GitHub
(Intermédiaire)
Langage C++
(Intermédiaire)
Programmation en JavaScript
(Intermédiaire)"
Data Analyst,France entière,immédiate,"Faire preuve de leadership
Prendre des initiatives et être force de proposition
Travailler en équipe
Adapter les outils de traitement statistique de données
Communiquer les résultats des études aux parties prenantes","
Master Marketing et Data Science

|
Bac+5 et plus ou équivalents","Adapter les outils de traitement statistique de données
(Avancé)
Définir et faire évoluer des procédés de traitement de l'information
(Avancé)"
Jeune diplômée en analyste de données à la recherche de nouvelles aventures au sein d’une entreprise où la data a toute sa place. Mon objectif est d’apprendre plus que Power Bi.,France entière,immédiate,"Business Intelligence (BI) / Informatique décisionnelle
Gestion de bases de données NoSQL
JIRA
Programmation en Python
Anglais","
Diplôme d’ingénieur 

|
Bac+5 et plus ou équivalents","Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
CSS
Danses de salon
Gestion de bases de données NoSQL
HTML
Java
JIRA
Microsoft Excel
Microsoft Word
MySQL
PHP
Programmation en Python
Utilisation de frameworks de test
Visual Basic for Applications (VBA)"
Data Scientist,France entière,immédiate,Concevoir une application web,"
Data Scientist Consultant

|
Capgemini (TOULOUSE)","Analyser, exploiter, structurer des données
(Intermédiaire)
Concevoir une application web
(Avancé)
Définir et faire évoluer des procédés de traitement de l'information
(Intermédiaire)"
